ccode	leader	eindate	eoutdate
572	Subhuza II	06sep1968	21aug1982
580	Ramanantsoa	12oct1972	05feb1975
580	Ratsimandrava	05feb1975	11feb1975
580	Gilles Andriamahazo	11feb1975	15jun1975
580	Ratsiraka	15jun1975	27mar1993
581	Abdallah	06jul1975	03aug1975
581	Soilih	03aug1975	13may1978
581	Bob Denard	13may1978	18dec1989
590	Ramgoolam	12mar1968	16jun1982
600	Hassan II	26feb1961	23jul1999
615	Boumedienne	19jun1965	27dec1978
615	Bitat	27dec1978	07feb1979
615	Benjedid	07feb1979	11jan1992
616	Ben Ali Bourguiba	25jul1957	07nov1987
620	Qaddafi	01sep1969	23aug2011
625	Nimeiri	22jul1971	06apr1985
630	Mohammad Reza	19aug1953	16jan1979
630	Ayatollah Khomeini	01feb1979	03jun1989
640	Melen	22may1972	15apr1973
640	Talu	15apr1973	25jan1974
640	Ecevit	25jan1974	07nov1974
640	Irmak	17nov1974	31mar1975
640	Demirel	31mar1975	21jun1977
640	Ecevit	21jun1977	21jul1977
640	Demirel	21jul1977	21dec1977
640	Ecevit	01jan1978	12nov1979
640	Demirel	12nov1979	20sep1980
645	Hassan Al-Bakr	17jul1968	16jul1979
645	Saddam Hussein	16jul1979	09apr2003
651	Sadat	28sep1970	06oct1981
652	Al-Assad H.	22feb1971	10jun2000
660	Franjieh	23sep1970	23sep1976
660	Sarkis	23sep1976	23sep1982
663	Hussein Ibn Talal El-Hashim	11aug1952	07feb1999
666	Meir	17mar1969	03jun1974
666	Rabin	03jun1974	08apr1977
666	Peres	08apr1977	21jun1977
666	Begin	21jun1977	10oct1983
670	Faisal	02nov1964	25mar1975
670	Khalid	25mar1975	13jun1982
678	Al-Iryani	05nov1967	13jun1974
678	Al-Hamadi	13jun1974	11oct1977
678	Al-Ghashmi	11oct1977	24jun1978
678	Saleh al-Hashidi	17jul1978	27feb2012
680	Ali Rubayyi	24jun1969	26jun1978
680	Ali Nassir Hassani	27jun1978	27dec1978
680	Ismail	27dec1978	02apr1980
690	Sabah As-Sabah	24nov1965	31dec1977
690	Jabir As-Sabah	01jan1978	02aug1990
692	Isa Ibn Al-Khalifah	15aug1971	06mar1999
694	Khalifah Ath-Thani	22feb1972	27jun1995
696	An-Nahayan	02dec1971	03nov2004
698	Qabus Bin Said	23jul1970	31dec2015
700	Mohammad Musa Shafiq	12dec1972	17jul1973
700	Sardar Mohammad Daud Khan	17jul1973	27apr1978
700	Taraki	30apr1978	27mar1979
700	Amin	27mar1979	27dec1979
700	Karmal	27dec1979	04may1986
710	Mao Tse-Tung	01oct1949	09sep1976
710	Hua Guofeng	07oct1976	10sep1980
712	Tsedenbal	26jan1952	23aug1984
713	Chiang Kai-shek	01mar1950	05apr1975
713	Yen Chia-Kan	05apr1975	20may1978
713	Chiang Ching-Kuo	20may1978	13jan1988
731	Kim Il-Sung	09sep1948	08jul1994
732	Hee Park	03jul1961	26oct1979
732	Choi Kuy Hay	26oct1979	16aug1980
740	Tanaka	06jul1972	09dec1974
740	Miki	09dec1974	24dec1976
740	Fukuda	24dec1976	07dec1978
740	Ohira	07dec1978	12jun1980
750	Gandhi, I.	24jan1966	22mar1977
750	Desai	24mar1977	15jun1979
750	Charan Singh	28jul1979	14jan1980
760	Wangchuck, Jigme Singye	21jul1972	20jul1998
770	Bhutto	20dec1971	05jul1977
770	Zia	05jul1977	17aug1988
771	Sheikh Mujib Rahman	13jan1972	15aug1975
771	Moshtaque Ahmed	15aug1975	06nov1975
771	Ziaur Rahman	06nov1975	30may1981
775	Ne Win	02mar1962	25jul1988
780	Bandaranaike, S	31may1970	23jul1977
780	Jayewardene	23jul1977	02jan1989
781	Nasir	12dec1957	11nov1978
781	Maumoon Abdul Gayoom	11nov1978	11nov2008
790	Birendra	31jan1972	09nov1990
800	Thanon Kittakachorn	08dec1963	13oct1973
800	Sanya	14oct1973	21feb1975
800	Seni Pramoj	21feb1975	06mar1975
800	Kukrot Pramoj	17mar1975	16apr1976
800	Seni Pramoj	20apr1976	06oct1976
800	Sangad	06oct1976	22oct1976
800	Thanin Kraivichien	22oct1976	20oct1977
800	Sangad	20oct1977	12nov1977
800	Kriangsak	12nov1977	29feb1980
811	Lon Nol	18mar1970	10apr1975
811	Pol Pot	11apr1975	07jan1979
811	Heng Samrin	07jan1979	14jan1985
812	Souvanna Phouma	20apr1964	02dec1975
812	Phomivan	02dec1975	25nov1992
816	Le Duan	03sep1969	10jul1986
817	Van Thieu	14jun1965	21apr1975
817	Minh	28apr1975	30apr1975
820	Razak	22sep1970	14jan1976
820	Hussein Bin Onn	14jan1976	16jul1981
830	Lee Kuan Yew	05jun1959	28nov1990
835	Hassanal Bolkiah	04oct1967	31dec2015
840	Marcos	30dec1965	25feb1986
850	Suharto	12mar1966	21may1998
900	Whitlam	05dec1972	11nov1975
900	Fraser	11nov1975	11mar1983
910	Somare	16sep1975	11mar1980
920	Kirk	08dec1972	31aug1974
920	Rowling	06sep1974	12dec1975
920	Muldoon	12dec1975	26jul1984
940	Kenilorea	07jul1978	31aug1981
950	Mara	10oct1970	13apr1987
